task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
971	d2/a7da36	2318	bwaMem (970)	COMPLETED	0	2020-09-18 08:27:38.609	6m 24s	6m 24s	95.0%	1 GB	1.4 GB	1.7 GB	1.7 GB
972	c2/2b2c59	31391	bwaMem (971)	COMPLETED	0	2020-09-18 08:32:54.031	3m 22s	3m 21s	95.1%	703.4 MB	1.1 GB	730.5 MB	698.1 MB
970	64/c3e0a5	8055	bwaMem (969)	COMPLETED	0	2020-09-18 08:28:40.038	10m 30s	10m 30s	95.4%	1 GB	1.4 GB	2.6 GB	2.5 GB
974	24/5f52aa	16981	bwaMem (973)	COMPLETED	0	2020-09-18 08:30:15.315	11m 25s	11m 24s	95.8%	1 GB	1.4 GB	2.5 GB	2.6 GB
976	5d/9f9b4c	9937	bwaMem (975)	COMPLETED	0	2020-09-18 08:41:40.042	2m 20s	2m 20s	92.2%	480.9 MB	1.1 GB	436.2 MB	448.8 MB
957	9a/4bb84e	31756	bwaMem (956)	COMPLETED	0	2020-09-18 08:11:11.046	33m 36s	33m 35s	96.0%	1.1 GB	1.4 GB	8.1 GB	7.8 GB
973	7e/5c1713	3471	bwaMem (972)	COMPLETED	0	2020-09-18 08:33:45.719	11m 5s	11m 4s	96.5%	1.1 GB	1.4 GB	2.6 GB	2.5 GB
982	73/4f19d8	25150	bwaMem (981)	COMPLETED	0	2020-09-18 08:44:46.790	1m 20s	1m 19s	92.4%	305.5 MB	1 GB	300.1 MB	299.4 MB
975	3e/f1c633	30453	bwaMem (974)	COMPLETED	0	2020-09-18 08:39:10.431	8m 29s	8m 28s	95.5%	1 GB	1.4 GB	1.8 GB	1.8 GB
968	c4/521d60	365	bwaMem (967)	COMPLETED	0	2020-09-18 08:46:06.318	2m 47s	2m 46s	93.7%	496.9 MB	1.1 GB	494.5 MB	474.4 MB
978	62/3605fa	16667	bwaMem (977)	COMPLETED	0	2020-09-18 08:36:16.022	14m 20s	14m 20s	96.3%	1 GB	1.4 GB	3.4 GB	3.3 GB
979	73/c4b98c	21138	bwaMem (978)	COMPLETED	0	2020-09-18 08:44:00.401	9m 24s	9m 23s	95.4%	1 GB	1.4 GB	1.9 GB	2 GB
969	c2/134255	7943	bwaMem (968)	COMPLETED	0	2020-09-18 08:47:39.381	6m 43s	6m 43s	96.6%	1 GB	1.3 GB	1.8 GB	1.9 GB
967	bc/3fd621	25696	bwaMem (966)	COMPLETED	0	2020-09-18 08:44:50.528	14m	13m 59s	96.3%	1 GB	1.4 GB	3.4 GB	3.3 GB
954	d1/86e51c	4780	bwaMem (953)	COMPLETED	0	2020-09-18 08:11:50.549	48m 19s	48m 18s	96.6%	1.1 GB	1.4 GB	11.1 GB	10.8 GB
980	2d/83eca7	13463	bwaMem (979)	COMPLETED	0	2020-09-18 08:48:53.183	12m 28s	12m 28s	96.2%	1 GB	1.4 GB	3 GB	2.9 GB
990	f7/b5a1d2	6597	bwaMem (989)	COMPLETED	0	2020-09-18 09:01:21.237	1m 43s	1m 42s	92.9%	347.3 MB	1 GB	342.4 MB	342.2 MB
986	bc/0d3fcc	26140	bwaMem (985)	COMPLETED	0	2020-09-18 08:58:50.207	8m 37s	8m 37s	96.2%	1 GB	1.4 GB	2 GB	1.9 GB
989	53/94e61f	555	bwaMem (988)	COMPLETED	0	2020-09-18 09:00:09.211	8m 11s	8m 10s	97.8%	1.1 GB	1.4 GB	2.4 GB	2.4 GB
985	29/ccf953	2145	bwaMem (984)	COMPLETED	0	2020-09-18 08:53:24.113	15m 47s	15m 46s	97.2%	1 GB	1.3 GB	3.8 GB	3.6 GB
