task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
306	af/43ed30	17129	mem (305)	COMPLETED	0	2020-09-21 22:47:29.359	5m 19s	5m 16s	97.5%	1.2 GB	1.4 GB	238.2 MB	1.2 GB
313	ca/23e875	4222	mem (312)	COMPLETED	0	2020-09-21 22:50:51.808	3m 15s	3m 13s	95.5%	929.3 MB	1.1 GB	125.7 MB	547.7 MB
316	2d/e96d3a	28674	mem (315)	COMPLETED	0	2020-09-21 22:49:35.453	5m 23s	5m 20s	97.4%	1.2 GB	1.4 GB	292.7 MB	1.3 GB
309	4b/20becc	1185	mem (308)	COMPLETED	0	2020-09-21 22:50:22.516	8m 16s	8m 13s	97.6%	1.1 GB	1.3 GB	232 MB	1.7 GB
298	15/a94c6d	24018	mem (297)	COMPLETED	0	2020-09-21 22:43:07.357	15m 52s	15m 49s	98.6%	1.2 GB	1.5 GB	739.1 MB	3 GB
311	f0/8c1096	4828	mem (310)	COMPLETED	0	2020-09-21 22:45:11.524	13m 59s	13m 54s	98.1%	1.1 GB	1.4 GB	697.5 MB	2.7 GB
310	80/18fede	11981	mem (309)	COMPLETED	0	2020-09-21 22:46:33.979	13m 55s	13m 52s	98.2%	1.2 GB	1.4 GB	713.7 MB	2.7 GB
314	2a/17ccca	20765	mem (313)	COMPLETED	0	2020-09-21 22:54:06.756	6m 35s	6m 33s	98.0%	1.2 GB	1.5 GB	359.9 MB	1.6 GB
325	1f/36be5d	9920	mem (324)	COMPLETED	0	2020-09-21 22:59:10.392	2m 53s	2m 49s	94.9%	849.3 MB	1.1 GB	92.1 MB	442.8 MB
315	0c/c4055e	25220	mem (314)	COMPLETED	0	2020-09-21 22:54:58.714	8m 34s	8m 29s	96.7%	1 GB	1.2 GB	237.3 MB	1.6 GB
321	27/b37698	17879	mem (320)	COMPLETED	0	2020-09-21 23:00:42.150	5m 55s	5m 51s	97.4%	1.2 GB	1.4 GB	317.3 MB	1.4 GB
320	b6/01dd1a	24463	mem (319)	COMPLETED	0	2020-09-21 23:02:03.366	5m 23s	5m 18s	96.3%	1.2 GB	1.4 GB	294.5 MB	1.3 GB
323	c8/eb39a5	31279	mem (322)	COMPLETED	0	2020-09-21 23:03:32.746	5m 47s	5m 44s	96.5%	1.1 GB	1.3 GB	232.6 MB	1.1 GB
319	08/9a86fb	8741	mem (318)	COMPLETED	0	2020-09-21 22:58:59.438	11m 8s	11m 6s	98.0%	1.2 GB	1.4 GB	547.9 MB	2.7 GB
324	13/d34bd0	15094	mem (323)	COMPLETED	0	2020-09-21 23:07:25.986	2m 47s	2m 44s	93.9%	844.9 MB	1 GB	106.1 MB	465 MB
322	73/5cc733	11396	mem (321)	COMPLETED	0	2020-09-21 23:06:36.762	3m 54s	3m 49s	95.3%	945 MB	1.1 GB	174.8 MB	669.8 MB
312	31/a80d48	14388	mem (311)	COMPLETED	0	2020-09-21 22:52:48.367	18m 2s	17m 57s	98.3%	1.2 GB	1.4 GB	903.1 MB	3.5 GB
317	c8/f667f7	6872	mem (316)	COMPLETED	0	2020-09-21 22:58:38.747	13m 14s	13m 12s	98.6%	1.2 GB	1.4 GB	677.5 MB	2.6 GB
308	9a/1d597a	32284	mem (307)	COMPLETED	0	2020-09-21 22:50:11.738	23m 49s	23m 45s	99.6%	1.2 GB	1.5 GB	1.2 GB	4.7 GB
328	9e/ba8d16	26281	mem (327)	COMPLETED	0	2020-09-21 23:10:13.254	5m 38s	5m 35s	96.6%	1.2 GB	1.4 GB	304.5 MB	1.4 GB
335	ff/dff57b	1403	mem (334)	COMPLETED	0	2020-09-21 23:11:52.883	6m 22s	6m 18s	96.7%	1.2 GB	1.5 GB	323.8 MB	1.5 GB
326	f8/711538	22646	mem (325)	COMPLETED	0	2020-09-21 23:09:19.582	9m 45s	9m 42s	97.4%	1.2 GB	1.5 GB	438.7 MB	1.7 GB
327	52/c6e378	25598	mem (326)	COMPLETED	0	2020-09-21 23:10:07.845	9m 50s	9m 47s	98.0%	1.1 GB	1.4 GB	498.6 MB	1.9 GB
336	9a/130c99	10214	mem (335)	COMPLETED	0	2020-09-21 23:14:00.914	6m 17s	6m 13s	96.8%	1.2 GB	1.4 GB	338.1 MB	1.5 GB
342	26/9124a5	8305	mem (341)	COMPLETED	0	2020-09-21 23:20:18.313	2m 44s	2m 41s	94.4%	813.5 MB	1 GB	98.7 MB	437.6 MB
333	ff/0b652a	28141	mem (332)	COMPLETED	0	2020-09-21 23:10:30.491	13m 23s	13m 20s	98.0%	1.2 GB	1.5 GB	648.2 MB	2.5 GB
338	6b/333e67	6120	mem (337)	COMPLETED	0	2020-09-21 23:19:57.631	5m 58s	5m 57s	97.0%	1.1 GB	1.3 GB	291.9 MB	1.1 GB
329	cc/68f8d1	18801	mem (328)	COMPLETED	0	2020-09-21 23:15:51.611	11m 38s	11m 37s	97.2%	1.2 GB	1.5 GB	633.7 MB	2.3 GB
343	8c/cf195c	18664	mem (342)	COMPLETED	0	2020-09-21 23:23:02.107	5m 36s	5m 33s	96.9%	1.2 GB	1.4 GB	265.2 MB	1.3 GB
331	2c/7b8b83	29847	mem (330)	COMPLETED	0	2020-09-21 23:18:15.081	10m 28s	10m 25s	97.2%	1014.1 MB	1.2 GB	290.4 MB	2.1 GB
337	26/0c83d3	1626	mem (336)	COMPLETED	0	2020-09-21 23:19:04.602	9m 52s	9m 50s	97.6%	1.1 GB	1.3 GB	497 MB	1.9 GB
