task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
790	b7/a147ae	32429	samtoolsIndex (789)	COMPLETED	0	2020-09-18 16:51:13.378	19.4s	19.3s	65.4%	6.1 MB	29.6 MB	503.6 MB	14.5 KB
805	ac/6a2104	6034	samtoolsIndex (804)	COMPLETED	0	2020-09-18 16:51:30.915	3.3s	2.9s	66.1%	6 MB	29.5 MB	69.7 MB	13.4 KB
804	7a/379bf4	5438	samtoolsIndex (803)	COMPLETED	0	2020-09-18 16:51:29.331	5.1s	4.9s	71.7%	6.3 MB	29.5 MB	123.6 MB	13.8 KB
810	90/d5ce1b	5879	samtoolsIndex (809)	COMPLETED	0	2020-09-18 16:51:30.562	4.5s	4.4s	71.1%	6.1 MB	29.5 MB	112.6 MB	13.6 KB
803	45/3d64e5	5441	samtoolsIndex (802)	COMPLETED	0	2020-09-18 16:51:29.342	6.4s	6.3s	70.4%	6.1 MB	29.5 MB	158.9 MB	13.7 KB
797	12/7ebde7	3563	samtoolsIndex (796)	COMPLETED	0	2020-09-18 16:51:22.871	15.8s	15.6s	67.2%	6.1 MB	29.5 MB	405.2 MB	14.2 KB
809	9c/cbe84f	7391	samtoolsIndex (808)	COMPLETED	0	2020-09-18 16:51:34.219	6.5s	6.1s	70.8%	6.1 MB	29.5 MB	154.7 MB	13.7 KB
802	75/4c2d9b	5409	samtoolsIndex (801)	COMPLETED	0	2020-09-18 16:51:29.292	12.9s	12.7s	64.7%	6.2 MB	29.6 MB	329.3 MB	14 KB
807	a1/374b83	6417	samtoolsIndex (806)	COMPLETED	0	2020-09-18 16:51:31.830	10.9s	10.7s	69.8%	6.3 MB	29.5 MB	275.3 MB	13.8 KB
811	ac/797dcd	7861	samtoolsIndex (810)	COMPLETED	0	2020-09-18 16:51:35.097	11.1s	10.9s	70.3%	6 MB	29.5 MB	281.4 MB	13.9 KB
817	1e/3150ff	10618	samtoolsIndex (815)	COMPLETED	0	2020-09-18 16:51:42.744	4.4s	4s	67.4%	6.1 MB	29.5 MB	96.8 MB	13.7 KB
814	7f/b27996	7458	samtoolsIndex (813)	COMPLETED	0	2020-09-18 16:51:34.410	14.9s	14.6s	69.9%	6.4 MB	29.8 MB	382 MB	15.5 KB
819	66/6e8420	12136	samtoolsIndex (818)	COMPLETED	0	2020-09-18 16:51:47.126	2.4s	2.2s	66.6%	6.2 MB	29.5 MB	53.6 MB	13.4 KB
818	0f/31726f	11792	samtoolsIndex (817)	COMPLETED	0	2020-09-18 16:51:46.181	3.4s	2.9s	65.4%	5.9 MB	29.5 MB	72.3 MB	13.3 KB
812	97/8ee9b0	8086	samtoolsIndex (811)	COMPLETED	0	2020-09-18 16:51:35.782	13.8s	13.5s	65.0%	6.2 MB	29.5 MB	353.7 MB	13.8 KB
813	7d/bf9025	9137	samtoolsIndex (812)	COMPLETED	0	2020-09-18 16:51:38.652	11.4s	11.1s	72.5%	6.1 MB	29.5 MB	282.3 MB	13.8 KB
815	a3/c15f95	9878	samtoolsIndex (814)	COMPLETED	0	2020-09-18 16:51:40.752	11s	10.8s	66.9%	6.4 MB	29.6 MB	287.6 MB	14.4 KB
825	6f/704ced	12899	samtoolsIndex (824)	COMPLETED	0	2020-09-18 16:51:49.553	3.9s	3.5s	69.5%	6 MB	29.5 MB	93.4 MB	13.4 KB
808	d3/3a06cd	6851	samtoolsIndex (807)	COMPLETED	0	2020-09-18 16:51:32.754	21.3s	21.2s	69.6%	6.3 MB	29.6 MB	546.9 MB	14.6 KB
816	9d/2aae28	10394	samtoolsIndex (816)	COMPLETED	0	2020-09-18 16:51:42.184	16.6s	16.3s	66.8%	6.2 MB	29.6 MB	415.1 MB	14.4 KB
821	dd/840696	12852	samtoolsIndex (820)	COMPLETED	0	2020-09-18 16:51:49.514	10.3s	10s	67.3%	6.2 MB	29.5 MB	257.9 MB	13.8 KB
827	07/982b91	14672	samtoolsIndex (826)	COMPLETED	0	2020-09-18 16:51:54.097	6.5s	6.2s	66.6%	6.2 MB	29.5 MB	164.1 MB	13.5 KB
824	06/b2bebf	13220	samtoolsIndex (823)	COMPLETED	0	2020-09-18 16:51:50.023	10.8s	10.2s	71.3%	6.2 MB	29.5 MB	258.7 MB	13.7 KB
822	89/1e497f	12940	samtoolsIndex (821)	COMPLETED	0	2020-09-18 16:51:49.604	11.3s	10.9s	65.4%	6.1 MB	29.6 MB	303.2 MB	13.7 KB
823	2f/5cd08d	13871	samtoolsIndex (822)	COMPLETED	0	2020-09-18 16:51:51.777	9.7s	9.5s	66.9%	6.2 MB	29.5 MB	220.9 MB	13.7 KB
828	dc/c27841	16232	samtoolsIndex (827)	COMPLETED	0	2020-09-18 16:51:58.792	2.7s	2.4s	75.1%	6.2 MB	29.5 MB	71.4 MB	13.4 KB
826	28/e039f3	14434	samtoolsIndex (825)	COMPLETED	0	2020-09-18 16:51:53.450	10.3s	10.1s	72.2%	6.1 MB	29.5 MB	258.8 MB	13.7 KB
820	cf/fb03eb	12689	samtoolsIndex (819)	COMPLETED	0	2020-09-18 16:51:49.323	14.6s	14.3s	68.7%	6.2 MB	29.5 MB	372.4 MB	14.1 KB
835	c4/4ae39a	16957	samtoolsIndex (834)	COMPLETED	0	2020-09-18 16:52:00.579	3.8s	3.5s	64.0%	6.1 MB	29.5 MB	93.7 MB	13.4 KB
831	0d/46dff7	17459	samtoolsIndex (830)	COMPLETED	0	2020-09-18 16:52:01.487	3.3s	2.9s	66.6%	6.2 MB	29.5 MB	74.6 MB	13.5 KB
842	81/a7ea78	18627	samtoolsIndex (841)	COMPLETED	0	2020-09-18 16:52:04.385	2.5s	2.2s	62.5%	6.1 MB	29.5 MB	50.1 MB	13.3 KB
841	5b/c68757	18358	samtoolsIndex (840)	COMPLETED	0	2020-09-18 16:52:03.880	3.3s	2.9s	66.4%	6.2 MB	29.5 MB	76 MB	13.5 KB
